Year,Date,Team,Linescore,1st Downs,3rd Down Attempts,3rd Down Conversions,4th Down Attempts,4th Down Conversions,Total Yards,Pass Yards,Pass Completions,Pass Attempts,Rush Yards,Rush Attempts,Fumbles,Fumbles Lost,Interceptions Thrown,Penalties,Penalty Yards,Possession,Stats Source URL
1940,10/05/1940,PAC,,
,,ND,,
1940,10/12/1940,GT,,
,,ND,,
1940,10/19/1940,CAR,,
,,ND,,
1940,10/26/1940,ND,,
,,ILL,,
1940,11/02/1940,ARMY,,
,,ND,,
1940,11/09/1940,NAVY,,
,,ND,,
1940,11/16/1940,IOWA,,
,,ND,,
1940,11/23/1940,ND,,
,,NW,,
1940,12/07/1940,ND,,
,,USC,,
1941,09/27/1941,ARIZ,,
,,ND,,
1941,10/04/1941,IND,,
,,ND,,
1941,10/11/1941,ND,,
,,GT,,
1941,10/18/1941,ND,,
,,CAR,,
1941,10/25/1941,ILL,,
,,ND,,
1941,11/01/1941,ARMY,,
,,ND,,
1941,11/08/1941,NAVY,,
,,ND,,
1941,11/15/1941,ND,,
,,NW,,
1941,11/22/1941,USC,,
,,ND,,
1942,09/26/1942,ND,,
,,WIS,,
1942,10/03/1942,GT,,
,,ND,,
1942,10/10/1942,STAN,,
,,ND,,
1942,10/17/1942,IO-PF,,
,,ND,,
1942,10/24/1942,ND,,
,,ILL,,
1942,10/31/1942,NAVY,,
,,ND,,
1942,11/07/1942,ARMY,,
,,ND,,
1942,11/14/1942,MICH,,
,,ND,,
1942,11/21/1942,NW,,
,,ND,,
1942,11/28/1942,ND,,
,,USC,,
1942,12/05/1942,ND,,
,,GRTLK,,
1943,09/25/1943,ND,,
,,PITT,,
1943,10/02/1943,GT,,
,,ND,,
1943,10/09/1943,ND,,
,,MICH,,
1943,10/16/1943,ND,,
,,WIS,,
1943,10/23/1943,ILL,,
,,ND,,
1943,10/30/1943,NAVY,,
,,ND,,
1943,11/06/1943,ARMY,,
,,ND,,
1943,11/13/1943,ND,,
,,NW,,
1943,11/20/1943,IO-PF,,
,,ND,,
1943,11/27/1943,ND,,
,,GRTLK,,
1944,09/30/1944,ND,,
,,PITT,,
1944,10/07/1944,TULN,,
,,ND,,
1944,10/14/1944,DART,,
,,ND,,
1944,10/21/1944,WIS,,
,,ND,,
1944,10/28/1944,ND,,
,,ILL,,
1944,11/04/1944,NAVY,,
,,ND,,
1944,11/11/1944,ARMY,,
,,ND,,
1944,11/18/1944,NW,,
,,ND,,
1944,11/25/1944,ND,,
,,GT,,
1944,12/02/1944,GRTLK,,
,,ND,,
1945,09/29/1945,ILL,,
,,ND,,
1945,10/06/1945,ND,,
,,GT,,
1945,10/13/1945,DART,,
,,ND,,
1945,10/20/1945,ND,,
,,PITT,,
1945,10/27/1945,IOWA,,
,,ND,,
1945,11/03/1945,NAVY,,
,,ND,,
1945,11/10/1945,ARMY,,
,,ND,,
1945,11/17/1945,ND,,
,,NW,,
1945,11/24/1945,ND,,
,,TULN,,
1945,12/01/1945,ND,,
,,GRTLK,,
1946,09/28/1946,ND,,
,,ILL,,
1946,10/05/1946,PITT,,
,,ND,,
1946,10/12/1946,PUR,,
,,ND,,
1946,10/26/1946,ND,,
,,IOWA,,
1946,11/02/1946,NAVY,,
,,ND,,
1946,11/09/1946,ARMY,,
,,ND,,
1946,11/16/1946,NW,,
,,ND,,
1946,11/23/1946,ND,,
,,TULN,,
1946,11/30/1946,USC,,
,,ND,,
1947,10/04/1947,ND,,
,,PITT,,
1947,10/11/1947,ND,,
,,PUR,,
1947,10/18/1947,NEB,,
,,ND,,
1947,10/25/1947,IOWA,,
,,ND,,
1947,11/01/1947,NAVY,,
,,ND,,
1947,11/08/1947,ARMY,,
,,ND,,
1947,11/15/1947,ND,,
,,NW,,
1947,11/22/1947,TULN,,
,,ND,,
1947,12/06/1947,ND,,
,,USC,,
1948,09/25/1948,PUR,,
,,ND,,
1948,10/02/1948,ND,,
,,PITT,,
1948,10/09/1948,MSU,,
,,ND,,
1948,10/16/1948,ND,,
,,NEB,,
1948,10/23/1948,ND,,
,,IOWA,,
1948,10/30/1948,NAVY,,
,,ND,,
1948,11/06/1948,ND,,
,,IND,,
1948,11/13/1948,NW,,
,,ND,,
1948,11/27/1948,WASH,,
,,ND,,
1948,12/04/1948,ND,,
,,USC,,
1949,09/24/1949,IND,,
,,ND,,
1949,10/01/1949,ND,,
,,WASH,,
1949,10/08/1949,ND,,
,,PUR,,
1949,10/15/1949,TULN,,
,,ND,,
1949,10/29/1949,NAVY,,
,,ND,,
1949,11/05/1949,ND,,
,,MSU,,
1949,11/12/1949,UNC,,
,,ND,,
1949,11/19/1949,IOWA,,
,,ND,,
1949,11/26/1949,USC,,
,,ND,,
1949,12/03/1949,ND,,
,,SMU,,
