Year,Date,Team,Linescore,1st Downs,3rd Down Attempts,3rd Down Conversions,4th Down Attempts,4th Down Conversions,Total Yards,Pass Yards,Pass Completions,Pass Attempts,Rush Yards,Rush Attempts,Fumbles,Fumbles Lost,Interceptions Thrown,Penalties,Penalty Yards,Possession,Stats Source URL
,,STAN,7|14|0|7,23,8,15,0,0,429,233,20,31,196,42,2,1,1,11,113,19:48
2011,12/29/2011,FSU,0|0|3|15,13,3,14,0,1,290,293,20,31,41,29,1,0,0,5,44,18:12
,,ND,7|0|7|0,19,7,15,0,0,280,215,19,35,93,35,1,1,3,5,39,18:27
2012,09/01/2012,ND,13|14|13|10,27,7,10,0,0,490,197,16,23,293,46,1,0,1,4,30,33:37
,,NAVY,0|3|7|0,19,4,9,0,1,341,192,14,20,149,40,5,3,1,2,15,26:23
2012,09/08/2012,PUR,0|7|0|10,14,6,17,3,3,288,198,19,37,90,30,0,0,2,8,51,25:46
,,ND,0|7|10|3,19,11,19,0,0,376,324,24,39,52,36,3,1,0,8,52,34:14
2012,09/15/2012,ND,7|7|0|6,16,1,14,1,2,300,178,14,32,122,34,1,0,0,6,41,30:40
,,MSU,0|3|0|0,15,5,17,0,2,237,187,23,45,50,25,2,1,0,5,56,29:14
2012,09/22/2012,MICH,0|0|0|6,19,8,15,1,1,299,138,13,25,161,41,2,1,5,5,38,33:19
,,ND,0|10|0|3,14,3,9,0,0,239,145,11,19,94,31,0,0,2,5,49,26:41
2012,10/06/2012,MIAMI,3|0|0|0,13,4,12,0,1,285,201,18,35,84,18,0,0,0,9,76,20:52
,,ND,7|6|21|7,34,5,11,1,1,587,211,19,26,376,51,2,0,0,4,25,39:08
2012,10/13/2012,STAN,0|10|0|3|0,13,6,16,0,1,272,125,12,25,147,40,0,0,2,6,65,28:34
,,ND,3|0|0|10|7,19,7,16,0,1,334,184,16,28,150,44,5,3,0,9,70,31:26
2012,10/20/2012,BYU,0|14|0|0,17,6,13,0,0,243,177,23,36,66,25,0,0,2,4,35,29:19
,,ND,7|0|3|7,16,6,14,0,0,389,119,8,17,270,43,0,0,1,5,51,30:41
2012,10/27/2012,ND,7|3|0|20,18,7,15,0,0,403,188,14,27,215,39,1,0,0,1,5,32:09
,,OKLA,3|3|0|7,22,4,14,1,2,379,364,36,52,15,24,1,0,1,5,39,27:10
2012,11/03/2012,PITT,3|7|10|0|3|0|3,13,1,14,0,1,308,164,19,29,144,33,2,0,0,7,45,24:37
,,ND,3|3|0|14|3|0|6,34,10,20,1,1,522,291,29,53,231,51,2,1,2,6,46,35:23
2012,11/10/2012,ND,7|7|7|0,21,11,14,0,0,393,209,17,25,184,40,3,2,0,8,65,32:23
,,BC,0|3|0|3,20,8,15,0,2,300,247,27,43,53,23,2,1,1,6,40,27:37
2012,11/17/2012,WAKE,0|0|0|0,9,4,15,0,1,209,154,23,35,55,25,2,1,0,3,28,30:31
,,ND,21|10|7|0,23,7,13,0,0,584,363,22,36,221,30,0,0,1,5,31,29:29
2012,11/24/2012,ND,10|6|3|3,24,5,14,0,0,439,217,15,27,222,42,0,0,0,7,50,34:18
,,USC,0|10|0|3,19,1,8,0,1,281,186,14,24,95,27,1,0,2,3,15,25:03
2012,01/07/2013,BAMA,14|14|7|7,28,8,13,1,1,529,264,20,28,265,45,0,0,0,4,40,38:13
,,ND,0|0|7|7,16,2,8,0,1,302,270,21,36,32,19,1,0,1,3,35,21:47
2013,08/31/2013,TEM,0|6|0|0,25,6,15,0,2,362,228,23,47,134,29,2,1,0,5,40,39:30
,,ND,14|7|7|0,21,5,13,0,0,543,355,17,27,188,35,0,0,0,9,63,31:53
2013,09/07/2013,ND,7|6|7|10,23,8,15,0,2,410,314,29,53,96,19,0,0,2,4,33,25:56
,,MICH,10|17|7|7,25,6,12,0,0,460,294,21,33,166,39,1,0,1,6,50,34:04
2013,09/14/2013,ND,0|3|7|21,20,11,16,0,1,400,309,20,33,91,37,1,1,0,3,23,31:12
,,PUR,7|3|7|7,16,7,16,1,1,294,256,25,41,38,21,1,0,1,6,55,28:48
2013,09/21/2013,MSU,0|7|3|3,19,8,18,1,2,254,135,16,36,119,35,0,0,1,10,115,30:32
,,ND,3|7|0|7,14,6,17,0,1,220,142,14,34,78,32,0,0,0,8,86,29:22
2013,09/28/2013,OKLA,14|7|6|8,25,5,14,0,1,450,238,23,31,212,42,0,0,0,4,31,35:44
,,ND,7|0|7|7,12,4,12,0,0,324,104,9,25,220,29,0,0,3,8,77,24:16
2013,10/05/2013,AZST,0|13|0|21,22,4,13,1,2,427,362,33,47,65,25,3,1,2,4,45,25:15
,,ND,0|14|10|13,23,4,15,1,1,424,279,17,38,145,37,0,0,1,9,64,34:05
2013,10/19/2013,USC,7|3|0|0,18,2,13,0,2,330,201,20,34,129,31,0,0,1,11,95,31:18
,,ND,7|7|0|0,17,4,14,0,1,300,166,14,25,134,40,2,1,0,6,38,28:42
2013,10/26/2013,ND,7|17|14|7,22,5,11,1,1,466,331,18,26,135,37,1,0,0,1,5,29:10
,,AF,7|3|0|0,19,7,17,1,3,339,49,8,12,290,65,2,2,0,5,40,30:50
2013,11/02/2013,NAVY,7|13|0|14,28,10,16,1,3,419,88,6,9,331,70,2,0,0,0,0,37:36
,,ND,10|7|7|14,25,2,5,1,1,506,242,12,20,264,36,0,0,2,5,55,22:24
2013,11/09/2013,ND,7|7|7|0,16,5,14,1,2,456,318,18,39,138,24,1,1,2,5,45,23:27
,,PITT,0|7|14|7,23,3,13,0,0,355,243,22,35,112,41,1,0,0,5,45,36:33
2013,11/23/2013,BYU,7|0|6|0,23,11,20,0,2,415,168,21,36,247,47,0,0,1,6,47,26:09
,,ND,14|3|3|3,24,8,16,0,2,470,235,15,28,235,47,0,0,1,4,25,33:51
2013,11/30/2013,ND,3|3|14|0,19,5,12,0,0,263,199,16,34,64,24,1,0,2,3,15,25:18
,,STAN,7|7|10|3,21,8,13,0,0,419,158,12,18,261,51,0,0,2,5,52,34:42
2013,12/28/2013,RUTG,10|3|0|3,16,3,12,1,1,236,156,10,29,80,26,0,0,4,3,33,21:44
,,ND,10|3|3|13,31,7,16,1,1,494,319,27,47,175,43,1,1,0,8,69,38:16
2014,08/30/2014,RICE,7|3|0|7,16,6,15,0,1,367,226,15,26,141,40,1,1,1,5,30,29:51
,,ND,14|14|10|10,23,6,13,0,0,576,295,14,22,281,42,0,0,0,2,10,30:09
2014,09/06/2014,MICH,0|0|0|0,18,4,13,1,2,289,189,19,32,100,35,2,1,3,5,50,33:04
,,ND,7|14|7|3,20,7,15,1,1,280,226,23,34,54,31,0,0,0,3,20,26:56
2014,09/13/2014,PUR,7|7|0|0,17,6,15,1,3,290,234,27,40,56,26,1,1,2,5,41,27:00
,,ND,7|10|7|6,27,8,17,0,0,398,259,25,40,139,38,1,1,0,7,43,33:00
2014,09/27/2014,ND,0|14|7|10,29,9,15,0,0,523,362,32,39,161,41,4,3,2,8,80,33:17
,,SYR,0|3|0|12,17,3,15,2,4,429,294,22,38,135,30,0,0,1,10,85,26:43
2014,10/04/2014,STAN,7|0|0|7,14,5,16,0,1,205,158,18,36,47,32,2,0,2,9,66,30:12
,,ND,0|7|0|10,21,6,18,1,2,370,241,20,43,129,32,2,1,1,1,10,29:48
2014,10/11/2014,UNC,14|12|10|7,30,9,17,0,0,516,326,25,42,190,42,2,1,1,9,94,27:23
,,ND,7|21|7|15,27,7,15,1,1,516,300,21,38,216,43,2,2,1,10,76,32:33
2014,10/18/2014,ND,7|10|7|3,26,7,18,2,5,470,313,31,52,157,35,2,0,2,9,67,32:51
,,FSU,7|3|14|7,18,2,8,0,0,323,273,23,31,50,26,0,0,1,9,84,27:09
2014,11/01/2014,ND,14|14|0|21,25,7,10,0,0,533,315,18,25,218,39,1,0,1,1,5,26:53
,,NAVY,7|10|14|8,23,7,16,3,5,454,118,6,17,336,60,0,0,1,2,25,33:07
2014,11/08/2014,ND,3|7|7|14,24,5,13,1,3,487,446,22,41,41,38,3,1,4,5,43,30:08
,,AZST,17|17|0|21,22,5,15,1,1,412,224,17,28,188,45,1,0,1,3,19,29:20
2014,11/15/2014,NW,9|14|3|14|3,28,8,20,1,3,547,284,30,48,263,48,3,2,2,5,62,31:48
,,ND,20|7|7|6|0,28,7,15,1,1,498,287,21,40,211,40,5,3,1,4,47,28:12
2014,11/22/2014,LOU,14|3|7|7,23,6,14,0,0,409,180,8,21,229,50,0,0,1,8,57,35:31
,,ND,3|3|14|8,16,4,11,0,0,335,236,16,24,99,29,1,0,1,3,36,24:29
2014,11/29/2014,ND,0|7|7|0,20,6,14,0,1,349,245,16,39,104,25,2,1,1,3,35,22:21
,,USC,21|14|14|0,35,13,18,2,3,577,372,32,40,205,53,0,0,0,6,45,37:39
2014,12/30/2014,ND,7|14|7|3,23,11,17,1,2,449,186,18,26,263,51,1,0,0,2,15,36:39
,,LSU,7|7|14|0,17,5,10,0,1,436,151,7,14,285,38,1,1,0,2,7,22:41
2015,09/05/2015,TEX,0|0|3|0,8,2,14,0,0,163,103,8,23,60,29,0,0,0,4,50,20:50
,,ND,14|3|14|7,30,8,14,0,0,527,313,19,23,214,52,2,0,0,6,39,39:10
2015,09/12/2015,ND,12|0|14|8,20,0,10,2,3,460,207,15,30,253,34,0,0,0,4,40,26:37
,,UVA,0|14|0|13,22,6,15,1,1,416,289,26,38,127,30,1,1,0,9,55,33:23
2015,09/19/2015,GT,0|7|0|15,21,3,15,2,3,337,121,8,24,216,47,3,1,0,4,30,32:52
,,ND,7|6|3|14,17,4,11,0,0,457,242,21,30,215,32,1,1,1,8,55,27:08
2015,09/26/2015,UMASS,6|14|0|7,22,5,17,1,3,450,302,28,48,148,29,1,0,1,4,35,29:45
,,ND,14|21|20|7,30,8,13,0,0,681,224,18,28,457,51,1,0,1,8,75,30:15
2015,10/03/2015,ND,3|0|0|19,20,4,12,0,0,432,321,19,35,111,32,6,3,1,6,40,29:58
,,CLEM,14|0|7|3,15,5,15,0,0,296,84,10,21,212,43,1,0,1,5,44,30:02
2015,10/10/2015,NAVY,7|14|3|0,16,2,11,4,4,340,22,3,6,318,49,2,2,1,3,41,28:53
,,ND,7|17|14|3,27,7,12,1,1,459,281,22,31,178,40,0,0,1,4,35,31:07
2015,10/17/2015,USC,10|14|7|0,19,6,16,2,3,590,440,31,47,150,30,0,0,2,10,105,31:08
,,ND,21|3|0|17,21,5,12,0,0,476,262,16,25,214,35,1,1,0,4,40,28:52
2015,10/31/2015,ND,7|7|3|7,20,6,14,0,1,467,299,23,36,168,31,0,0,2,8,81,31:44
,,TEM,3|7|0|10,16,4,14,2,2,295,188,13,30,107,32,1,0,1,6,79,28:16
2015,11/07/2015,ND,7|14|7|14,22,8,14,0,1,437,262,19,26,175,42,3,1,0,2,20,33:39
,,PITT,3|0|14|13,18,6,14,1,1,398,223,12,32,175,31,0,0,1,3,25,26:21
2015,11/14/2015,WAKE,0|0|7|0,23,7,16,0,3,340,219,19,30,121,44,2,0,1,5,58,35:48
,,ND,14|7|0|7,15,6,11,0,0,282,111,13,19,171,30,0,0,0,4,45,24:12
2015,11/21/2015,BC,0|0|3|13,13,2,13,0,1,302,91,13,23,211,35,3,1,0,9,75,28:52
,,ND,10|0|6|3,22,4,15,0,0,447,324,21,39,123,33,4,2,3,4,31,31:08
2015,11/28/2015,ND,7|13|9|7,24,3,9,1,1,533,234,13,25,299,35,1,1,0,6,65,24:01
,,STAN,14|7|7|10,22,8,12,0,0,422,269,17,21,153,43,0,0,0,1,5,35:59
2015,01/01/2016,ND,0|14|7|7,24,5,13,1,1,405,284,22,38,121,32,1,1,1,3,20,27:15
,,OSU,14|14|7|9,27,10,18,1,1,496,211,19,31,285,54,1,0,1,4,45,32:45
2016,09/04/2016,ND,7|7|14|9|7|3,22,7,16,0,0,444,238,17,30,206,46,0,0,0,8,64,32:42
,,TEX,7|14|10|6|7|6,26,8,18,2,2,517,280,16,27,237,59,0,0,1,11,104,27:18
2016,09/10/2016,NEV,0|0|3|7,16,3,12,0,1,300,201,12,26,99,30,0,0,1,11,88,26:28
,,ND,0|25|14|0,21,7,15,2,2,444,205,19,27,239,46,1,0,1,9,94,33:32
2016,09/17/2016,MSU,0|15|21|0,22,9,18,1,1,501,241,19,26,260,52,0,0,1,3,45,37:57
,,ND,7|0|7|14,19,4,11,1,1,401,344,20,37,57,25,2,2,1,4,51,22:03
2016,09/24/2016,DUKE,14|14|0|10,24,6,14,0,2,498,290,24,32,208,42,0,0,1,1,5,30:35
,,ND,14|7|7|7,24,5,12,0,1,534,381,22,37,153,37,4,2,1,2,20,29:25
2016,10/01/2016,ND,23|10|14|3,25,3,15,1,2,489,363,31,51,126,37,0,0,0,5,45,28:38
,,SYR,13|14|0|6,25,3,12,0,1,654,471,23,35,183,37,1,0,1,6,55,31:22
2016,10/08/2016,ND,0|0|3|0,10,1,15,2,4,113,54,9,26,59,38,4,2,1,5,40,27:41
,,NCST,3|0|0|7,14,2,14,2,5,198,41,7,14,157,51,6,2,0,2,20,32:19
2016,10/15/2016,STAN,0|0|9|8,18,7,12,0,0,296,120,10,20,176,40,3,2,1,5,40,32:51
,,ND,7|3|0|0,16,5,14,2,4,307,154,14,29,153,35,1,0,2,7,47,27:09
2016,10/29/2016,MIAMI,0|7|10|10,20,7,19,0,1,306,288,26,42,18,35,0,0,1,10,86,33:25
,,ND,17|3|0|10,20,8,16,0,1,411,263,25,38,148,29,3,2,0,7,53,26:35
2016,11/05/2016,ND,10|7|7|3,21,8,13,4,5,368,48,5,8,320,56,0,0,0,1,5,33:53
,,NAVY,7|7|7|7,21,9,13,1,1,370,223,19,27,147,29,2,0,0,7,47,26:07
2016,11/12/2016,ARMY,0|6|0|0,10,3,11,1,3,242,13,2,8,229,42,1,0,1,7,68,25:38
,,ND,21|17|6|0,31,10,13,1,1,476,215,18,29,261,43,3,0,1,7,35,34:22
2016,11/19/2016,VT,0|14|7|13,25,6,14,1,1,419,267,22,29,152,47,4,1,1,5,35,32:45
,,ND,10|14|7|0,22,4,14,2,2,449,249,17,34,200,36,1,0,0,10,78,27:15
2016,11/26/2016,ND,7|0|14|6,23,5,17,2,2,408,254,21,39,154,37,1,1,1,6,54,28:57
,,USC,10|14|14|7,23,5,12,0,0,412,205,19,30,207,38,1,1,0,7,65,31:03
2017,09/03/2017,TEM,3|7|0|6,18,5,17,0,2,330,245,19,35,85,37,1,1,0,6,42,33:49
,,ND,21|7|7|14,26,6,13,1,2,606,184,17,30,422,44,1,0,1,4,20,26:11
2017,09/10/2017,UGA,3|7|7|3,16,4,18,0,0,326,141,16,29,185,43,1,1,1,12,126,32:42
,,ND,3|10|3|3,18,3,17,1,1,266,211,19,39,55,37,3,2,0,8,63,27:18
2017,09/16/2017,ND,7|7|14|21,19,9,18,0,1,611,96,11,27,515,51,1,1,1,5,45,29:35
,,BC,3|7|3|7,22,4,17,1,2,400,215,24,41,185,44,2,1,2,6,35,30:25
2017,09/24/2017,ND,14|14|7|3,21,8,14,0,0,355,173,14,20,182,40,0,0,0,6,65,25:57
,,MSU,7|0|3|8,26,11,19,1,2,496,345,32,53,151,32,2,2,1,9,97,34:03
2017,09/30/2017,M-OH,7|7|3|0,19,6,15,0,2,377,262,19,37,115,33,1,1,1,9,90,35:33
