Year,Date,Team,Linescore,1st Downs,3rd Down Attempts,3rd Down Conversions,4th Down Attempts,4th Down Conversions,Total Yards,Pass Yards,Pass Completions,Pass Attempts,Rush Yards,Rush Attempts,Fumbles,Fumbles Lost,Interceptions Thrown,Penalties,Penalty Yards,Possession,Stats Source URL
1960,09/24/1960,CAL,,
,,ND,,
1960,10/01/1960,PUR,,
,,ND,,
1960,10/08/1960,ND,,
,,UNC,,
1960,10/15/1960,MSU,,
,,ND,,
1960,10/22/1960,ND,,
,,NW,,
1960,10/29/1960,NAVY,,
,,ND,,
1960,11/05/1960,PITT,,
,,ND,,
1960,11/12/1960,ND,,
,,MIAMI,,
1960,11/19/1960,IOWA,,
,,ND,,
1960,11/26/1960,ND,,
,,USC,,
1961,09/30/1961,OKLA,,
,,ND,,
1961,10/07/1961,ND,,
,,PUR,,
1961,10/14/1961,USC,,
,,ND,,
1961,10/21/1961,ND,,
,,MSU,,
1961,10/28/1961,NW,,
,,ND,,
1961,11/04/1961,NAVY,,
,,ND,,
1961,11/11/1961,ND,,
,,PITT,,
1961,11/18/1961,SYR,,
,,ND,,
1961,11/25/1961,ND,,
,,IOWA,,
1961,12/02/1961,ND,,
,,DUKE,,
1962,09/29/1962,ND,,
,,OKLA,,
1962,10/06/1962,PUR,,
,,ND,,
1962,10/13/1962,ND,,
,,WIS,,
1962,10/20/1962,MSU,,
,,ND,,
1962,10/27/1962,ND,,
,,NW,,
1962,11/03/1962,NAVY,,
,,ND,,
1962,11/10/1962,PITT,,
,,ND,,
1962,11/17/1962,UNC,,
,,ND,,
1962,11/24/1962,IOWA,,
,,ND,,
1962,12/01/1962,ND,,
,,USC,,
1963,09/28/1963,WIS,,
,,ND,,
1963,10/05/1963,ND,,
,,PUR,,
1963,10/12/1963,USC,,
,,ND,,
1963,10/19/1963,UCLA,,
,,ND,,
1963,10/26/1963,ND,,
,,STAN,,
1963,11/02/1963,NAVY,,
,,ND,,
1963,11/09/1963,PITT,,
,,ND,,
1963,11/16/1963,ND,,
,,MSU,,
1963,11/28/1963,ND,,
,,SYR,,
1964,09/26/1964,ND,,
,,WIS,,
1964,10/03/1964,PUR,,
,,ND,,
1964,10/10/1964,ND,,
,,AF,,
1964,10/17/1964,UCLA,,
,,ND,,
1964,10/24/1964,STAN,,
,,ND,,
1964,10/31/1964,NAVY,,
,,ND,,
1964,11/07/1964,ND,,
,,PITT,,
1964,11/14/1964,MSU,,
,,ND,,
1964,11/21/1964,IOWA,,
,,ND,,
1964,11/28/1964,ND,,
,,USC,,
1965,09/18/1965,ND,,
,,CAL,,
1965,09/25/1965,ND,,
,,PUR,,
1965,10/02/1965,NW,,
,,ND,,
1965,10/09/1965,ARMY,,
,,ND,,
1965,10/23/1965,USC,,
,,ND,,
1965,10/30/1965,NAVY,,
,,ND,,
1965,11/06/1965,ND,,
,,PITT,,
1965,11/13/1965,UNC,,
,,ND,,
1965,11/20/1965,MSU,,
,,ND,,
1965,11/27/1965,ND,,
,,MIAMI,,
1966,09/24/1966,PUR,,
,,ND,,
1966,10/01/1966,ND,,
,,NW,,
1966,10/08/1966,ARMY,,
,,ND,,
1966,10/15/1966,UNC,,
,,ND,,
1966,10/22/1966,ND,,
,,OKLA,,
1966,10/29/1966,NAVY,,
,,ND,,
1966,11/05/1966,PITT,,
,,ND,,
1966,11/12/1966,DUKE,,
,,ND,,
1966,11/19/1966,ND,,
,,MSU,,
1966,11/26/1966,ND,,
,,USC,,
1967,09/23/1967,CAL,,
,,ND,,
1967,09/30/1967,ND,,
,,PUR,,
1967,10/07/1967,IOWA,,
,,ND,,
1967,10/14/1967,USC,,
,,ND,,
1967,10/21/1967,ND,,
,,ILL,,
1967,10/28/1967,MSU,,
,,ND,,
1967,11/04/1967,NAVY,,
,,ND,,
1967,11/11/1967,ND,,
,,PITT,,
1967,11/18/1967,ND,,
,,GT,,
1967,11/24/1967,ND,,
,,MIAMI,,
1968,09/21/1968,OKLA,,
,,ND,,
1968,09/28/1968,PUR,,
,,ND,,
1968,10/05/1968,ND,,
,,IOWA,,
1968,10/12/1968,NW,,
,,ND,,
1968,10/19/1968,ILL,,
,,ND,,
1968,10/26/1968,ND,,
,,MSU,,
1968,11/02/1968,NAVY,,
,,ND,,
1968,11/09/1968,PITT,,
,,ND,,
1968,11/16/1968,GT,,
,,ND,,
1968,11/30/1968,ND,,
,,USC,,
1969,09/20/1969,NW,,
,,ND,,
1969,09/27/1969,ND,,
,,PUR,,
1969,10/04/1969,MSU,,
,,ND,,
1969,10/11/1969,ARMY,,
,,ND,,
1969,10/18/1969,USC,,
,,ND,,
1969,10/25/1969,ND,,
,,TULN,,
1969,11/01/1969,NAVY,,
,,ND,,
1969,11/08/1969,ND,,
,,PITT,,
1969,11/15/1969,ND,,
,,GT,,
1969,11/22/1969,AF,,
,,ND,,
1969,01/01/1970,TEX,0|7|0|14,
,,ND,3|7|0|7,
