Year,Date,Team,Linescore,1st Downs,3rd Down Attempts,3rd Down Conversions,4th Down Attempts,4th Down Conversions,Total Yards,Pass Yards,Pass Completions,Pass Attempts,Rush Yards,Rush Attempts,Fumbles,Fumbles Lost,Interceptions Thrown,Penalties,Penalty Yards,Possession,Stats Source URL
2000,09/02/2000,TA&M,,
2004,12/28/2004,ND,0|7|7|7,17,7,16,0,0,276,230,18,33,59,33,1,0,1,0,0,20:59
,,ORST,14|7|3|14,19,5,14,1,1,378,381,28,45,20,18,0,0,0,0,0,15:34
2005,09/03/2005,ND,7|28|7|0,33,10,15,0,0,502,227,18,27,275,50,1,0,1,0,0,20:06
,,PITT,10|3|0|8,20,4,14,0,3,323,258,20,35,103,31,2,1,1,0,0,16:45
2005,09/10/2005,ND,7|7|0|3,17,4,15,0,0,244,165,19,30,104,44,3,1,0,0,0,18:56
,,MICH,0|3|0|7,15,5,18,2,4,337,228,19,44,114,29,3,1,1,0,0,17:44
2005,09/17/2005,MSU,14|10|14|0|6,18,3,12,0,1,488,339,16,27,161,36,4,2,1,0,0,14:52
,,ND,7|10|7|14|3,31,6,18,3,4,594,508,33,60,107,38,1,1,1,0,0,21:48
2005,09/24/2005,ND,3|9|7|17,31,6,13,0,3,560,329,25,37,233,47,2,0,0,0,0,22:16
,,WASH,0|3|0|14,20,2,10,1,3,449,424,19,40,41,22,2,2,1,0,0,14:25
2005,10/01/2005,ND,7|21|7|14,32,9,16,0,1,621,468,30,39,153,50,0,0,2,0,0,22:02
,,PUR,0|0|14|14,29,5,13,1,3,514,350,33,58,164,24,1,1,1,0,0,14:36
2005,10/15/2005,USC,14|0|7|13,20,5,13,2,2,476,317,17,33,175,31,1,0,2,0,0,13:21
,,ND,7|14|0|10,28,10,19,1,1,417,284,19,35,153,52,2,1,1,0,0,23:20
2005,10/22/2005,BYU,10|0|13|0,26,4,15,2,3,392,344,26,45,75,34,0,0,2,0,0,20:20
,,ND,7|14|21|7,27,6,11,0,0,511,471,32,41,44,23,3,2,0,0,0,16:21
2005,11/05/2005,TENN,3|7|11|0,18,7,18,0,0,296,205,13,32,109,39,2,1,2,0,0,17:15
,,ND,14|7|0|20,14,6,16,0,1,343,309,20,33,48,34,2,1,0,0,0,19:33
2005,11/12/2005,NAVY,7|0|7|7,21,8,14,2,3,314,75,4,10,239,58,2,1,1,0,0,19:35
,,ND,7|21|7|7,29,7,12,1,2,505,284,22,31,221,39,0,0,1,0,0,17:05
2005,11/19/2005,SYR,3|0|0|7,11,3,15,2,3,221,99,9,22,143,38,1,0,1,0,0,17:07
,,ND,0|14|10|10,20,6,17,2,3,420,292,22,38,134,36,1,0,0,0,0,19:34
2005,11/26/2005,ND,14|0|6|18,30,8,15,0,1,663,443,25,38,231,50,1,0,2,0,0,21:15
,,STAN,7|7|0|17,14,1,11,0,2,336,402,23,36,-11,25,0,0,0,0,0,15:08
2005,01/02/2006,ND,7|0|6|7,22,8,17,1,2,348,327,29,45,62,28,2,2,0,0,0,17:57
,,OSU,7|14|3|10,27,8,12,0,0,617,355,19,28,275,36,1,0,0,0,0,18:43
2006,09/02/2006,ND,0|7|7|0,21,7,16,1,1,384,265,23,38,138,40,0,0,0,11,80,21:25
,,GT,7|3|0|0,14,2,10,0,0,259,154,12,24,119,28,0,0,0,5,28,15:04
2006,09/09/2006,PSU,0|0|3|14,25,5,13,2,4,383,246,24,41,158,33,3,2,1,4,25,16:09
,,ND,3|17|14|7,22,5,14,4,4,397,311,25,36,110,36,1,0,0,6,64,20:31
2006,09/16/2006,MICH,20|14|6|7,17,4,13,0,0,340,232,13,22,120,41,0,0,1,5,70,20:36
,,ND,7|7|0|7,14,2,14,1,2,245,260,25,49,4,17,2,2,3,11,84,16:04
2006,09/23/2006,ND,0|14|7|19,13,1,11,2,3,366,330,20,36,47,17,3,1,1,8,58,14:08
,,MSU,17|14|6|0,18,3,14,1,1,388,166,11,23,248,43,2,1,2,9,75,21:08
2006,09/30/2006,PUR,7|7|0|7,24,4,11,0,3,490,398,23,46,92,18,1,1,0,8,74,13:19
,,ND,14|14|7|0,33,8,14,2,2,454,345,29,38,138,43,0,0,0,5,36,23:21
2006,10/07/2006,STAN,3|0|0|7,14,1,8,0,1,226,190,10,18,72,31,0,0,1,7,47,15:20
,,ND,7|7|10|7,29,7,13,0,1,436,239,27,38,204,39,0,0,0,4,37,21:20
2006,10/21/2006,UCLA,0|14|0|3,12,5,14,0,1,243,243,16,32,26,28,1,1,1,8,55,15:46
,,ND,7|3|3|7,20,4,19,4,5,345,337,27,45,41,35,1,1,0,6,50,20:54
2006,10/28/2006,ND,10|14|7|7,25,4,11,3,5,471,303,18,25,176,37,0,0,0,4,35,18:39
,,NAVY,0|14|0|0,19,5,12,0,1,314,58,4,7,271,56,2,1,0,4,43,18:01
2006,11/04/2006,UNC,7|6|13|0,10,4,13,0,0,244,245,14,24,31,25,1,0,0,5,79,16:49
,,ND,14|17|7|7,22,8,14,0,0,452,374,23,37,106,35,1,1,0,5,35,19:33
2006,11/11/2006,ND,20|7|6|6,19,3,7,0,1,383,218,14,19,176,27,0,0,0,6,60,13:08
,,AF,3|0|7|7,24,9,17,1,4,405,215,14,19,200,60,0,0,0,5,50,23:05
2006,11/18/2006,ARMY,3|0|0|6,12,5,14,0,1,150,112,8,21,58,36,2,1,2,4,35,19:09
,,ND,0|20|14|7,26,6,10,0,2,439,221,22,30,221,35,4,1,1,9,77,17:31
2006,11/25/2006,ND,3|7|7|7,18,7,18,2,6,404,288,22,45,130,31,1,1,0,8,39,18:53
,,USC,14|7|7|16,21,5,11,2,2,404,271,17,28,139,32,0,0,2,6,42,17:39
2006,01/03/2007,ND,7|7|0|0,17,8,16,0,1,291,158,15,35,143,31,0,0,2,4,40,17:34
,,LSU,14|7|13|7,31,3,10,1,1,577,345,21,34,245,37,2,1,1,9,95,19:06
2007,09/01/2007,GT,6|10|3|14,20,4,13,0,0,380,131,11,24,259,43,0,0,0,6,53,18:20
,,ND,0|0|3|0,13,5,16,2,2,122,204,15,22,-8,41,3,3,0,3,25,18:20
2007,09/08/2007,ND,7|0|3|0,9,2,16,0,1,144,194,17,32,0,26,3,0,1,13,82,15:34
,,PSU,7|7|10|7,19,9,16,0,0,295,149,12,22,164,46,2,2,1,7,65,20:16
2007,09/15/2007,ND,0|0|0|0,10,4,13,1,1,79,150,13,22,-6,33,6,2,2,7,51,16:16
,,MICH,10|21|7|0,25,11,17,0,1,379,90,7,16,289,61,3,2,0,4,37,20:24
2007,09/22/2007,MSU,14|3|14|0,19,6,15,2,2,354,143,11,24,219,49,1,1,1,3,20,20:09
,,ND,7|7|0|0,9,4,15,1,2,203,118,11,20,117,35,1,1,0,4,35,16:31
2007,09/29/2007,ND,0|0|6|13,21,5,16,4,6,426,391,34,52,49,26,2,1,2,11,110,16:14
,,PUR,10|13|3|7,27,6,15,0,1,371,274,22,37,119,42,1,0,2,9,67,20:26
2007,10/06/2007,ND,3|0|17|0,12,3,17,1,2,140,113,18,28,46,38,1,0,0,8,61,19:10
,,UCLA,3|3|0|0,20,4,15,0,2,282,233,16,38,89,37,5,3,4,11,93,16:52
2007,10/13/2007,BC,6|7|14|0,21,7,17,0,3,459,291,32,49,168,34,0,0,1,15,131,23:43
,,ND,0|0|14|0,14,6,18,1,4,222,206,18,49,27,21,0,0,2,7,64,12:57
2007,10/20/2007,USC,7|10|14|7,24,5,14,0,1,462,235,21,38,227,36,2,1,0,8,52,18:15
,,ND,0|0|0|0,10,4,17,0,1,165,157,17,33,48,30,2,2,1,3,35,25:02
2007,11/03/2007,NAVY,0|14|6|8|7|3|8,23,9,16,2,2,338,82,6,9,257,66,2,1,0,5,47,17:59
,,ND,7|14|0|7|7|3|6,27,9,19,6,8,375,175,17,27,235,63,2,1,0,4,36,18:41
2007,11/10/2007,AF,10|7|14|10,23,7,14,0,1,405,120,10,16,285,63,2,2,0,3,40,20:46
,,ND,0|10|0|14,19,4,15,2,5,304,293,22,40,58,38,2,2,0,2,60,15:54
2007,11/17/2007,DUKE,0|0|0|7,16,4,16,1,2,232,148,18,38,94,27,3,2,0,6,55,15:05
,,ND,0|14|7|7,24,10,18,1,2,414,207,16,32,220,48,1,1,0,11,103,21:35
2007,11/24/2007,ND,7|7|0|7,19,4,13,0,1,313,233,19,32,117,38,3,3,1,4,46,15:36
,,STAN,7|7|0|0,18,6,17,0,1,327,175,15,33,175,44,0,0,2,8,81,20:34
2008,09/06/2008,SDSU,0|7|6|0,19,5,16,0,1,345,281,29,59,71,15,1,1,1,11,100,17:48
,,ND,0|7|0|14,20,3,12,1,2,342,237,21,34,105,34,2,2,2,7,58,18:52
2008,09/13/2008,MICH,7|10|0|0,22,4,12,1,2,388,229,19,28,159,42,7,4,2,7,79,19:32
,,ND,21|7|0|7,13,3,12,0,2,260,147,10,21,113,34,3,0,2,3,38,17:08
2008,09/20/2008,ND,0|0|0|7,18,6,14,0,1,258,276,24,41,16,22,3,1,2,4,24,15:39
,,MSU,3|7|3|10,16,6,15,1,1,346,143,12,26,203,43,1,1,0,6,65,20:14
2008,09/27/2008,PUR,7|7|7|0,23,6,14,0,2,462,359,29,55,103,17,0,0,1,5,43,15:14
,,ND,0|14|21|3,23,6,14,3,4,476,283,20,35,201,40,0,0,0,6,44,21:26
2008,10/04/2008,STAN,0|7|0|14,20,2,9,0,1,343,230,18,28,161,37,1,1,3,9,56,16:00
,,ND,7|14|7|0,20,4,14,2,3,430,359,29,40,83,27,0,0,0,8,75,20:00
2008,10/11/2008,ND,7|10|7|0,27,10,16,0,2,472,414,31,48,89,30,4,3,2,4,33,20:25
,,UNC,3|6|13|7,21,6,13,0,0,322,209,18,32,121,32,1,0,0,7,55,16:15
2008,10/25/2008,ND,14|3|10|6,25,6,14,2,6,459,229,15,28,252,49,1,0,1,7,55,22:32
,,WASH,0|0|0|7,9,5,14,0,0,124,139,11,25,26,23,0,0,0,5,50,13:03
2008,11/01/2008,PITT,3|0|7|14|3|3|3|3,17,5,17,3,3,346,179,15,30,178,47,0,0,3,8,53,19:16
,,ND,3|14|0|7|3|3|3|0,20,7,19,0,2,386,277,23,44,115,39,1,0,0,6,60,17:24
2008,11/08/2008,ND,0|0|0|0,16,5,15,0,2,292,238,26,46,66,21,2,1,4,6,58,17:13
