Year,Date,Team,Linescore,1st Downs,3rd Down Attempts,3rd Down Conversions,4th Down Attempts,4th Down Conversions,Total Yards,Pass Yards,Pass Completions,Pass Attempts,Rush Yards,Rush Attempts,Fumbles,Fumbles Lost,Interceptions Thrown,Penalties,Penalty Yards,Possession,Stats Source URL
1920,10/02/1920,KAL,,
,,ND,,
1920,10/09/1920,WMU,,
,,ND,,
1920,10/16/1920,ND,,
,,NEB,,
1920,10/23/1920,VALPO,,
,,ND,,
1920,10/30/1920,ND,,
,,ARMY,,
1920,11/06/1920,PUR,,
,,ND,,
1920,11/13/1920,IND,,
,,ND,,
1920,11/20/1920,ND,,
,,NW,,
1920,11/25/1920,ND,,
,,MSU,,
1921,09/24/1921,KAL,,
,,ND,,
1921,10/01/1921,DEP,,
,,ND,,
1921,10/08/1921,ND,,
,,IOWA,,
1921,10/15/1921,ND,,
,,PUR,,
1921,10/22/1921,NEB,,
,,ND,,
1921,10/29/1921,IND,,
,,ND,,
1921,11/05/1921,ND,,
,,ARMY,,
1921,11/08/1921,RUTG,,
,,ND,,
1921,11/12/1921,HASK,,
,,ND,,
1921,11/19/1921,ND,,
,,MARQ,,
1921,11/24/1921,MSU,,
,,ND,,
1922,09/30/1922,KAL,,
,,ND,,
1922,10/07/1922,SLU,,
,,ND,,
1922,10/14/1922,ND,,
,,PUR,,
1922,10/21/1922,DEP,,
,,ND,,
1922,10/28/1922,ND,,
,,GT,,
1922,11/04/1922,IND,,
,,ND,,
1922,11/11/1922,ND,,
,,ARMY,,
1922,11/18/1922,ND,,
,,BUT,,
1922,11/25/1922,ND,,
,,CAR,,
1922,11/30/1922,ND,,
,,NEB,,
1923,09/29/1923,KAL,,
,,ND,,
1923,10/06/1923,LOMB,,
,,ND,,
1923,10/13/1923,ARMY,,
,,ND,,
1923,10/20/1923,ND,,
,,PRIN,,
1923,10/27/1923,GT,,
,,ND,,
1923,11/03/1923,PUR,,
,,ND,,
1923,11/10/1923,ND,,
,,NEB,,
1923,11/17/1923,BUT,,
,,ND,,
1923,11/24/1923,ND,,
,,CAR,,
1923,11/29/1923,ND,,
,,SLU,,
1924,10/04/1924,LOMB,,
,,ND,,
1924,10/11/1924,WAB,,
,,ND,,
1924,10/19/1924,ND,,
,,ARMY,,
1924,10/25/1924,ND,,
,,PRIN,,
1924,11/01/1924,GT,,
,,ND,,
1924,11/08/1924,ND,,
,,WIS,,
1924,11/15/1924,NEB,,
,,ND,,
1924,11/22/1924,ND,,
,,NW,,
1924,11/29/1924,ND,,
,,CAR,,
1924,01/01/1925,ND,0|13|7|7,
,,STAN,3|0|7|0,
1925,09/26/1925,BAY,,
,,ND,,
1925,10/03/1925,LOMB,,
,,ND,,
1925,10/10/1925,BEL,,
,,ND,,
1925,10/17/1925,ARMY,,
,,ND,,
1925,10/24/1925,ND,,
,,MINN,,
1925,10/31/1925,ND,,
,,GT,,
1925,11/07/1925,ND,,
,,PSU,,
1925,11/14/1925,CAR,,
,,ND,,
1925,11/21/1925,NW,,
,,ND,,
1925,11/26/1925,ND,,
,,NEB,,
1926,10/02/1926,BEL,,
,,ND,,
1926,10/09/1926,ND,,
,,MINN,,
1926,10/16/1926,PSU,,
,,ND,,
1926,10/23/1926,ND,,
,,NW,,
1926,10/30/1926,GT,,
,,ND,,
1926,11/06/1926,IND,,
,,ND,,
1926,11/13/1926,ARMY,,
,,ND,,
1926,11/20/1926,DRKE,,
,,ND,,
1926,11/27/1926,ND,,
,,CAR,,
1926,12/04/1926,ND,,
,,USC,,
1927,10/01/1927,COE,,
,,ND,,
1927,10/08/1927,ND,,
,,DET,,
1927,10/15/1927,NAVY,,
,,ND,,
1927,10/22/1927,ND,,
,,IND,,
1927,10/29/1927,GT,,
,,ND,,
1927,11/05/1927,MINN,,
,,ND,,
1927,11/12/1927,ARMY,,
,,ND,,
1927,11/19/1927,ND,,
,,DRKE,,
1927,11/26/1927,USC,,
,,ND,,
1928,09/29/1928,LLA,,
,,ND,,
1928,10/06/1928,ND,,
,,WIS,,
1928,10/13/1928,NAVY,,
,,ND,,
1928,10/20/1928,ND,,
,,GT,,
1928,10/27/1928,DRKE,,
,,ND,,
1928,11/03/1928,PSU,,
,,ND,,
1928,11/10/1928,ARMY,,
,,ND,,
1928,11/17/1928,CAR,,
,,ND,,
1928,12/01/1928,ND,,
,,USC,,
1929,10/05/1929,ND,,
,,IND,,
1929,10/12/1929,NAVY,,
,,ND,,
1929,10/19/1929,WIS,,
,,ND,,
1929,10/26/1929,ND,,
,,CAR,,
1929,11/02/1929,ND,,
,,GT,,
1929,11/09/1929,DRKE,,
,,ND,,
1929,11/16/1929,USC,,
,,ND,,
1929,11/23/1929,ND,,
,,NW,,
1929,11/30/1929,ARMY,,
,,ND,,
